Name,Country,Website,Description,Overview,Logo
Atelier Pierrot,http://www.virtualjapan.com/wiki/Atelier_Pierrot,http://atelier-pierrot.jp/english/index.html,"Atelier Pierrot is a Japanese clothing brand and a well known storefront in Harauku. The company, with its Laforet Harajuku location is known for its wide array of both gothic inspired and Lolita costume clothing. The owner and operator of Atelier Pierrot is Keiko Oohashi and the shop’s main store is located in the same building as its corporate office in the Harajuku neighborhood of Shibuya, Tokyo. A second store, Carina e Arlequin is located in Utsunomiya in Tochigi Prefecture.",,http://atelier-pierrot.jp/english/img/AP-logo-Clear1.png
ato,http://www.virtualjapan.com/wiki/Ato_(fashion_brand),http://www.ato.jp,"ato (not usually capitalized) is an edgy Japanese fashion brand created by designer Ato Matsumoto. The brand has been around since 1993 and offers all types of high end and street clothing and accessories as well as shoes. Outside of Japan, they have become very famous for their sneakers since Kayne West began wearing them.",,http://www.ato.jp/common/img/common/logo.gif
Attachment,,http://www.attachment-ec.com,Attachment is a Japanese design label run by Kazuyuki Kumagai. Centered around ensuring optimum craftsmanship in every piece Attachment has become a highly regarded collection of menswear in both Japan and Europe.,,http://www.attachment-ec.com/user_data/packages/default/img/common/logo.png
"Baby, The Stars Shine Bright",http://www.virtualjapan.com/wiki/Baby%2C_The_Stars_Shine_Bright,http://www.babyssb.co.jp,"BABY, THE STARS SHINE BRIGHT (BABY / BTSSB) is a brand of Japanese clothing popular in the Gothic Lolita or Sweet Lolita fashion scene.

BABY, THE STARS SHINE BRIGHT clothing can best be characterized as Victorian in style while maintaining a modern day appeal. Inspired by elegant styled clothing from the Rococo period, the brand has been referred to as ""old fashioned"" but still wearable in today's high fashion setting. The line currently includes blouses, cut saws, jackets and coats, jumper skirts, headdresses, bags or purses, shoes and socks for young girls. Supporting the ideas of traditional values all clothing has been designed to cover most of the body leaving very little exposed. Each piece features traditional floral prints, deep and muted colors, slimmer styling and empire waists BTSSB clothing offers a vintage appearance which can be worn by young girls seeking an upscale look. To create complete looks BTSSB also creates accessories including hair bands, hair corsages, headdresses, handbags and miniature hats.",,http://www.babyssb.co.jp/babyssb_db/wp-content/uploads/2014/01/site-id.png
Ba-tsu,,https://www.zazzle.co.uk/batsu+clothing,"Ba-tsu is a Japanese clothing brand that focuses on various different styles, from gothic Lolita, to modern streetwear. Combining the essence of gothic Lolita clothing – the use of school girl style clothing and different methods of dress with modern styles and punk influences, the brand has become popular in multiple different circles of popular fashion in Japan",,
Beams,http://www.virtualjapan.com/wiki/Beams,http://www.beams.co.jp,"Beams is a brand of Japanese clothing and a chain of Japanese clothing stores that carry Breams brand as well as other clothing brands.

Beams clothing, found in company stores, is part of a mini fashion chain which has recently grown to department store status with outlets now scattering all over Japan. Some of the Beams department stores span over 7 floors with hundreds of products such as interior goods, furniture, galleries, clothing, shoes, and accessories.

The types of clothing offered under the Beams brand include wardrobe classics, shoes, bags, accessories, men's and women's casual, along with custom tailored pieces. The logos and artwork are often characterized as abstract or cartoon in nature giving a fun twist to upscale clothing. Far from following a prescribed patter of prestige, they set their standards to best serve the ever changing styles of life for new generations of Japanese consumers. Popularity of Beams clothing has been driven by the outstanding quality received at a reasonable price.",,http://cdn.beams.co.jp/beams/images/pc/sprites/black/svg/beams-logo.svg
Beauty:Beast,http://www.virtualjapan.com/wiki/Beauty:Beast,http://store.beautybeast.jp,"Beauty:Beast is a Japan based clothing company. Based in Tokyo, the company has become synonymous with the sleek urban fashions that have been most popular with international customer bases. Creating a wide array of different products, Beauty:Beast has become very successful in a number of international communities.",,http://img05.shop-pro.jp/PA01105/542/etc/top1.jpg?20140204161320
Billionaire Boys Club,http://www.virtualjapan.com/wiki/Billionaire_Boys_Club,http://www.bbcicecream.com,"Billionaire Boys Club (BBC) is a brand of Japanese clothing.

The Billionaire Boys Club (BBC) brand is characterized by a variety of shirts, sweaters, jackets, jeans, and shorts. Inspired by the style on the Hip-Hop scene the clothes are best described as being baggy or lose fitting. BBC is also known for representing Japanese street styles by including bright and vivacious colors with bold and intriguing patterns. In the United States you also find BBC clothing being represented by skateboarders looking to stand on the edge of trend setting fashion.",,https://pbs.twimg.com/profile_images/831594504935215105/GO6XhEqA.jpg  https://www.bbcicecream.com/blog/wp-content/themes/pixelpower-ss13/images/logo-bbc-500.png
,,,,,
,,,,,
,,,,,
Cecil McBee,http://www.virtualjapan.com/wiki/Cecil_McBee,http://cecilmcbee.jp,"Cecil McBee is a Japanese fashion designer based out of Tokyo. The designer is a top choice in the country and one of the more popular trendy clothing stores in the country, targeting a wide array of patrons, but largely focusing its attention on young women, as emphasized by its store placement in Shibuya 109.",,http://cecilmcbee.jp/common/img/header/header_logo.jpg
Charlotte Ronson,http://www.virtualjapan.com/wiki/Charlotte_Ronson,http://charlotteronson.com,"Charlotte Ronson is a London born fashion designer whose work is very popular in Japan. Having developed a unique style at an early age in life, Charlotte was customizing t-shirts and tank tops before graduating from school.",,https://scontent-waw1-1.xx.fbcdn.net/v/t1.0-9/551230_333434423372457_2098704027_n.jpg?oh=2a5cd2fcfb755237c51e6d33e9abe227&oe=58FFF103
Cher,http://www.virtualjapan.com/wiki/Cher_(fashion_brand),http://cher-official.shop-pro.jp,"Cher (シェル) (pronounced ""shell"") is a Japanese women's fashion brand most famous for their blue and red logo print eco bag which became the must-have item for fashion conscious Tokyo girls in early 2008. The brand's founder is influenced by surf culture and the target audience for the clothing and accessories is fashionable Japanese girls in their twenties.",,http://img14.shop-pro.jp/PA01307/244/PA01307244.jpg?cmsp_timestamp=20160113114206
Chisato Tsumori,http://www.virtualjapan.com/wiki/Chisato_Tsumori,http://www.tsumorichisato.com/index.html,"Chisato Tsumori (ツモリチサト) is a Japanese fashion designer born in Saitama, Japan on November 12, 1954. ""Chisato Tsumori"" is also the name of the designer's popular clothing brand.",,http://www.tsumorichisato.com/logo-300x23-black.png
Comme des Garcons,http://www.virtualjapan.com/wiki/Comme_des_Garcons,http://www.comme-des-garcons.com/dm/2017/index.html,"Comme des Garcons has grown to become one of Japan’s biggest fashion designers, grossing as much as $150 million every year and operating more than 200 vendors and a dozen full sized boutiques aroudn the world. Started and owned by designer Rei Kawakubo, Comme des Garcons (French for “like boys”) is one of the premiere faces of Japanese fashion in the International Community.",,http://www.comme-des-garcons.com/index/1701_1.jpg   http://www.comme-des-garcons.com/dm/2017/cdg2017.png
,,,,,
,,,,,
,,,,,
,,,,,
A-net,http://www.virtualjapan.com/wiki/A-net,http://a-net.com/top/index_en.php  http://www.a-net.com/brands,"A-net is a Japanese fashion label and clothing line that is home to many of the top brand produced in Japan each year. The design studio, which is the sister studio to Issey Miyake’s Miyake Design Studios is now home to a half dozen different major brands and a wide selection of smaller, individual brands.",,http://www.a-net.com/wp/wp-content/themes/a-net/images/common/logo.png
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Devilock,http://www.virtualjapan.com/wiki/Devilock,http://global.rakuten.com/en/search?k=DEVILOCK&tl=551177&f=1,"Devilock is a Japanese clothing and production company. Known for a wide array of productions including clothing, toys, musical events, pro wrestling, and fights, Devilock has become extremely popular throughout Japan’s youth.",,
Diet Butcher Slim Skin,http://www.virtualjapan.com/wiki/Diet_Butcher_Slim_Skin,http://www.metalburger.com#,"Diet Butcher Slim Skin is a Japanese fashion label based out of Tokyo. Started by Hisashi Fukatami, the label focuses on producing modern clothing with punk influence with original designs. The unique approach to crossing punk style designs with classic, sophisticated clothing styles has made the label highly regarded in both Japan and a growing international community.",,https://scontent.fhen1-1.fna.fbcdn.net/v/t1.0-9/483201_480724985300177_1719737012_n.jpg?oh=5b6f950c0ac9d35780cd7c7335e2e17a&oe=5A7C7443
DressCamp,http://www.virtualjapan.com/wiki/DressCamp,http://dresscamp.jp,"DressCamp is a Japanese fashion label and clothing line created by Toshikazu Iwaya. The line represents a combination of modern designs and stereotypes and classic, 1970s and 1980s themes. While at a glance the clothing often looks recycled, it is all within the confines of Iwaya’s subtle commentary on his subjects.",,http://dresscamp.jp/img/logo.png
Education From Young Machines,http://www.virtualjapan.com/wiki/Education_From_Young_Machines,https://www.farfetch.com/uk/shopping/men/education-from-youngmachines/clothing-2/items.aspx,Capture an irreverent aesthetic with Education From Young Machines clothing. Casual styles are updated with graphic patterns and eye-catching intarsia designs. Tailored pieces are embellished with playful trims and bold prints. Offbeat asymmetric details and a nuanced palette of monochromes and jewel tones complete the Farfetch edit of clothing for men.,,
Edwin,http://www.virtualjapan.com/wiki/Edwin,http://www.edwin.co.jp,"Edwin Jeans (often just called Edwin) is a brand of Japanese clothing specializing in denim.

Edwin Jeans is one of the most popular Japanese jeans company in Japan. One reason for the popularity is the length of establishment while also featuring Brad Pitt and Anna Tsuchiya as the faces for their label.

The most popular piece to the Edwin Jean label is currently the Edwin Jeans SS collection featuring Natural Indigo Fabric initially developed in Japan. Their Indigo is hand dyed; woven on old style narrow looms, and features the Edwin Rainbow Selvage. This famous feature has been included on Edwin Jeans since 1963.

The female line covers 6 different bottom styles along with classic tops. The Male line of jeans offers 4 styles and expanding the finish offer to 12 finishes by style. Believing in the virtue of detail, Edwin Jeans are known for being perfectly designed, crafted, and presented.",,http://www.edwin.co.jp/
Egoist,http://www.virtualjapan.com/wiki/Egoist,http://www.egoist-inc.com,"Egoist is a Japanese fashion label and store run by Reiko Nakane in Tokyo. The shop has become a phenomenon in Japan thanks largely in part to the manner in which Reiko Nakane helps run it, using the her one time status as a charisma sales girl to bring in people and sell large sums in single days, as much as $90,000 in one case in a single day.",,http://www.egoist-inc.com/sys/wp-content/themes/egoist.1.0/images/navtitle_01.png
Evisu,http://www.virtualjapan.com/wiki/Evisu,http://evisu.com,"Evisu is a brand of Japanese clothing specializing in denim garments.

Evisu is mainly known for designing, producing, and marketing high quality denim products alongside other popular branded products. The brand has gained notability worldwide due to the quality of each product. All Evisu jeans are made of vintage selvedge denim. The significance of this particular denim is it's only made in old style shuttle loops rather than projectile loops. These shuttle looms have not been made for over 40 years so each loom is an antique. The entire process of making denim used for Evisu products involves equipments and techniques used in the 1950's creating a traditional quality of modern day wear. After being made, each piece is stamped with the seal of Evisu approval, a hand painted seagull logo. The production of every product is labor intensive and the equipment is rare so the prices of the jeans are often expensive.

Evisu offers several different styles to fit a consumers needs ranging from women's, men's, and a newly added children's line. The jeans can be described as varied with a wide fit and slim fit introduced alongside the new skinny fit now in its second season.",,http://s.evisumedia.com/skin/frontend/enterprise/evisu/images/evisu_large.png
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Fiberops,http://www.virtualjapan.com/wiki/Fiberops,,"Fiberops is a streetwear clothing brand based in Hong Kong. Fiberops was founded in 2002 by Japanese designer Tatsushi ""Tabo"" Kagaya and American designer Alyasha Owerka-Moore.

The Fiberops brand is known as a upper echelon street label that pays attention to the design and details of their clothing without adding unneeded bells and whistles. Fiberops have collaborated with major brands and designers including Nike, Michael Lau and New Balance. Their fashion line includes premium denim jeans, jackets, shirts, hats, shoes, skateboard decks, accessories and other items.

Raised in Brooklyn, his professional career spanning from San Diego to Hong Kong, Alyasha Owerka-Moore's varied geographical background is as diverse as his ethnic make-up and cultural intersts. It should be no surprise, then, that this postmodern Rennaissance man has been responsible for some of the most trend-setting and intriguing work in contemporary fashion history. From his past successes within the skate / urban / street universe, cultivating iconic brands like Shut Skates, Alphanumeric, Dub Brand outerwear, Droors, American Dream Inc. Skates, and now his current label, Fiberops, Aly has not only been there and done that, chances are that he's the one who founded it.

With Fiberops, Alyasha rejects the current belt-printed, melon-colored and trust-funded t-shirt hype that defines modern streetwear, opting instead for a more subtle and sophisticated approach to quality cut and sew garments with a classic appeal. Aly's iconoclastic perspectives on street fashion establish him as a true pioneer, and as such, Altamont is honored to present his contributions to our Fall 2008 collection through this limited collaboration",,http://static.highsnobiety.com/wp-content/uploads/_old/in4mation_fiberops_2-480x322.jpg
,,,,,
,,,,,
,,,,,
Final Home,http://www.virtualjapan.com/wiki/Final_Home,http://www.finalhome.com/,"Final Home is the fashion and design offshoot of designer, Kosuke Tsumura’s longstanding artistic endeavors. Featuring a unique take on the use of functionality and basic starting points in fashion, his work has been seen as a futuristic vision of style and function.",,http://static.tumblr.com/7wf46bb/80Vn6p8zg/finalhome.png
,,,,,
Frapbois,http://www.virtualjapan.com/wiki/Frapbois,http://www.frapbois.jp,"Frapbois is a Japanese clothing brand originated in the Daikanyama district of Tokyo, Japan. The brand, which was at one time headed by the mercibeaucoup clothing brand founder Eri Utsugi until 2005, grew quickly in popularity in part due to its catering to a feminine, urban style of dress that emphasized both maturity and flashiness that few other brands provided.",,http://www.frapbois.jp/imgs/shared/header_logo.png
,,,,,
Graniph,http://www.virtualjapan.com/wiki/Graniph,http://www.graniph.com,"Graniph is a clothing design company based out of Shimokitazawa, Japan that specializes in providing designer graphic T-Shirts.

""Contents
 [hide]
1 History 2 Design Method 3 Shop Locations 4 External Resources""
History

Established in the latter half of the 1990s by three graphic designers intent on bringing Western style designer T-shirts to Japan, Graniph now sells a wide array of products including handbags, bracelets, lighters, and CDs. The first Graniph storefront opened in Shimokitazawa in 2001. They became known for their willingness to sell single T-shirts for only 2000 Yen or $20US, a price almost a quarter of what most other companies were selling their T-Shirts for at the time. Today, the price has increased to 2500 Yen for a single T-shirt, but two can still be had for only 4000 Yen.",,http://www.graniph.com/imgEN/usr/sitelogo.png
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Gut's Dynamite Cabaret,http://www.virtualjapan.com/wiki/Gut's_Dynamite_Cabaret,http://www.g-d-cabarets.jp,"Gut’s Dynamite Cabarets is an up and coming Japanese fashion label. Combining aspects of different sub cultures including rock and roll fashion, cross dressing, and various nightclubs, Gut’s Dynamite Cabarets makes clothing that is intentionally vibrant and loud in numerous different ways during fashion shows.",,http://www.g-d-cabarets.jp/images/indexLOGO.png
,,,,,
H.NAOTO,http://www.virtualjapan.com/wiki/H.NAOTO,http://hnaoto.shop,"H.Naoto is one of many breakthrough designers in Japan that have integrated a unique, avant-garde style into his fashion, utilizing what was once an underground sensation – the fusion of Gothic and Lolita styles into everyday clothing brands. At times shocking to those who view his shows, h.NAOTO is best known for advancing the Goth-Loli style into new areas by introducing Victorian, underground, and Punk aspects into its aesthetic.",,http://hnaoto.shop/skin/frontend/ultimo/hnaoto/images/hnaoto_gos.jpg
HARE,https://www.adastria.co.jp/english/brands/hare/,http://www.dot-st.com/hare/,"
When white/black/gray-beige in HARE is like food, clothing and shelter in daily life, HARE's color, patterns and the period flavor represent essential fun and excitements.
HARE presents 'basic line' and 'our feelings' by concepts from what happen somewhere in daily life.
For ladies in rich curiosity, who have been widely enjoyed wearing in different mood and age, HARE ladies presents trendy and basic products in sharp and sophisticated sense, something beyond cutey.
",,http://www.dot-st.com/images/hare/c/header_logo_hare.png
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Head Porter,http://www.virtualjapan.com/wiki/Head_Porter,http://www.head-porter.org/home.htm,"Head Porter is a Harajuku based Japanese fashion label created in association with designer Hiroshi Fujiwara that produces bags and other accessories. Focusing on a wide array of different style bags, including fanny packs, backpacks, wallets, totebags, and handbags. The brand brings the urban bag style of Japan to its products and is well known for engaging in high-profile collaborative projects with other fashion labels and bag designers.


""Head Porter Style

Head Porter’s product line is as eclectic as possible, containing dozens of different kinds of bags and forms of design. Most bags come in one of five colors – olive, blue, black, orange, and red and known for their puffier design style, with lots of space and effective use of size. Shiny, soft materials make up the majority of the bags, of which there a many different kinds. Everything from office worker bags to luggage and women's handbags are available for any size or style of person.
Collaborations

Head Porter has become famous over the years for its number of collaborations with well known fashion designers and labels in Japan and Europe. Some of the top collaborations by Head Porter include:
Hynee.Store – T-shirts, accessories, bags, and hats.
BaseControl – A number of jackets, hats, and different bag designs.
Levi’s Fenom – Jeans with Head Porter style designs.
mastermind japan – A number of punk inspired designs including t-shirts, jackets, ties, notebooks, and accessories.
visvim – A benchwarmer jacket design and a number of high profile sneaker crossovers.
Undercover – Wide array of screen t-shirts as well as a pen case and a few small bag designs.
Neighborhood - Jackets, backpacks, t-shirts, hats, and other streetwear clothing with Head Porter designs.
Comme des Garcons – Jeans, T-shirts, and tote bags featuring Head Porter style designs.
A Bathing Ape - Wallet and shoulder bags as well as bag inspired clothing sold by BAPE.""",,http://head-porter.org/banner/headporterubahn.jpg
,,,,,
,,,,,
HeartE,http://www.virtualjapan.com/wiki/HeartE,http://www.hearte.co.jp,"HeartE is a Japanese gothic Lolita clothing brand. Based out of Tokyo, Japan, HeartE has been making clothing since 1988 and focuses largely on producing clothes that combine Victorian and Edwardian era styles and designs with modern cuts and products. Their logo, consisting of imagery from Alice in Wonderland and their website, which is covered in images reminiscent of the animated film, are cues to much of their inspiration.",,https://www.hearte.co.jp/data/hearte/image/img/bana.gif
,,,,,
Heath,http://www.virtualjapan.com/wiki/Heath,,"Heath is a Japanese clothing brand started and designed by Gentaro Noda. The clothing in the line is best known for its focus on jackets and pants in the highest quality fabrics available with a minimalist approach to most pieces.

History

Noda attended St. Martins school in the UK where he was raised before returning to Japan in 2003 to launch his first line, Iliad in the 2004 Tokyo Collections. In 2007, he started his newest line with Heath and presented the 2008 A/W season.",,
,,,,,
,,,,,
,,,,,
,,,,,
Hiroko Koshino,http://www.virtualjapan.com/wiki/Hiroko_Koshino,http://www.hirokokoshino.com,Hiroko Koshino is a Japanese fashion designer whose work grew to acclaim in the 1980s. Her style has often integrated Japanese culture and the combination of classic Japanese designs and Western culture in the modern Japanese fashion industry.,,http://www.hirokokoshino.com/shared/images/logo.png
Hiromichi Nakano,http://www.virtualjapan.com/wiki/Hiromichi_Nakano,http://www.hiromichinakano.com,"Hiromichi Nakano is a Japanese clothing brand started and designed by Hiromichi Nakano. The brand, known for its combination of Gothic Lolita style dresses and doll aesthetics with modern fashion from Europe and North America, has become well known in both its native Japan and in Paris.",,http://www.hiromichinakano.com/images/top/top_logo.jpg
Hisui,http://www.virtualjapan.com/wiki/Hisui,https://www.thelabelmonster.com/catalogsearch/result/?q=HISUI+,"Hisui is a Japanese clothing brand started by Hiroko Ito. The brand, named for both Jade and the Kingfisher in Japanese, is best defined by its multiple folds and wraps with a huge collection of different colors throughout its lines.

History

Ito graduated from New York City’s FIT college and established Hisui in 1998 after working for Commes des Garcons for a short while. Right away, Hisui became well known for being at the forefront of the layered style movement of clothing and of working in collaboration with well known artists in Japan and the surrounding area. Both shows and lines are instilled with various artistic elements that turns the Hisui brand into both a viable ready to wear collection and an artistic statement.",,
,,,,,
,,,,,
,,,,,
,,,,,
Hysteric Glamour,http://www.virtualjapan.com/wiki/Hysteric_Glamour,https://www.hystericglamour.jp,"HYSTERIC GLAMOUR is an authentic fashion brand based on standard American casual style, including denim, military, workwear, and outdoor products. Keeping the core of standard American style, we arrange all products by adding an essence of American pop culture in ’60 to ‘80s. From rock music, art, pornography to mass products, we arrange the beauty of good old American culture to express our one and only fine collection to all customers. 
Not only reviving the silhouette and image of the product, we focus on research and craftsmanship to reappear its authenticity in detail of material and process of making product. We respect the detail of vintage piece delivered in the past, but also aggressively adopt latest and innovative technology to develop original materials for HYSTERIC GLAMOUR. Moreover, graphic works and visuals are another aspects we focus to symbolize our brand. 
From respecting the authenticity and pop culture, we continuously hold collaboration projects with various musicians, artists and other brands to provide our premium quality to all customers in the world.",,https://www.hystericglamour.jp/shared/images/common/logos/hysteric_glamour_white.png
Innocent World,http://www.virtualjapan.com/wiki/Innocent_World,http://innocent-w.jp/onlineshop/en/,"Innocent World is a Japanese gothic Lolita clothing store and brand located in the Harajuku neighborhood of Shibuya-ku, Tokyo, Japan. The clothing, designed by Yum Hushiwara, stationed in Europe, is inspired mainly by classic clothing from the 18th and 19th century aristocracy of France and England.",,http://innocent-w.jp/onlineshop/image/ti-top.gif
Issey Miyake,http://www.virtualjapan.com/wiki/Issey_Miyake,www.isseymiyake.com,"Issey Miyake (三宅 一生 Miyake Issei, b. 22 April 1938) is a Japanese fashion designer. Also a line of clothing of the same name from the designer that is well known for technology inspired clothing and displays, Issey Misake is one of the first clothing brands to become Internationally renowned from Japan. Born 22 April, 1938, Issey Miyake originally studied graphic design at the Tama Art University in Tokyo, Japan, graduating in 1964 before working in both Paris and New York. Upon returning to Tokyo in 1970, he founded the origin of his current fashion line – Miyake Design Studio.",,http://www.isseymiyake.com/assets/images/logo_large.gif
Izreel,http://www.virtualjapan.com/wiki/Izreel,http://www.izreel.jp,"Izreel is a Japanese fashion label started by Kazuhiro Takakura. The brand, started in 2003, is street fashion brand that focuses on providing luxury turns on the American vintage look while using the same European style of high class fabrics and cuts in each piece.",,http://www.izreel.jp/common/image/all/logo.png
John Lawrence Sullivan,http://www.virtualjapan.com/wiki/John_Lawrence_Sullivan,http://www.john-lawrence-sullivan.com,"John Lawrence Sullivan is a Japanese clothing brand designed by Arashi Yanagawa. Unlike many designers from Japan, Yanagawa started his career as a professional boxer. His inspiration for John Lawrence Sullivan came from the boxer of the same name who, in the 1880s became the first true champion in heavyweight boxing. Yanagawa’s influences do not include only boxing as he has touched on multiple interests both in his personal life and in his design work. Included in these products are everything from aviation to professional sports and his design is almost completely self taught.",,http://www.john-lawrence-sullivan.com/img/logo.gif
Juliette et Justine,http://www.virtualjapan.com/wiki/Juliette_et_Justine,http://juliette-et-justine.com,"Juliette et Justine is a Japanese fashion label and clothing brand. The brand, known as part of the “classic gothic Lolita” movement of clothing styles is best known for its interpretations of 18th and 19th century Victorian and Edwardian dresses from England and France, as well as the Rococo era dresses best known during the years prior to the French Revolution.",,http://juliette-et-justine.com/user_data/packages/juliette20140123/images/head_03.jpg
Julius,http://www.virtualjapan.com/wiki/Julius,http://www.julius-garden.jp,"Julius is a Japanese fashion label run and designed by Tatsuro Horikawa. The label focuses on presenting a wide array of gothic inspired clothing, utilizing the color black extensively to explore its meaning in both Avant Garde, spiritual, and religious aspects of the designer’s life. Started as a primarily art related project, Julius has surpassed Horikawa's original label focus in Nuke, presenting in the Tokyo Collection annually since 2004 and growing to a cult status in both Japan and abroad.",,https://base-ec2.akamaized.net/images/user/logo/cf0e0c5baab93605099d7f1c7c57b8f8.jpg
Jun Ashida,http://www.virtualjapan.com/wiki/Jun_Ashida,http://www.jun-ashida.co.jp/ja/en/designer/index.html,"Jun Ashida is a Japanese fashion designer. Born in Kyoto Prefecture, Ashida attended the University of Tokyo where he studied illustration and design. Born in 1930, his work has long been a high profile example of Japanese fashion around the world and even today, his daughter is carrying on his legacy with her own fashion label.",,http://www.jun-ashida.co.jp/ja/en/images/common_images/jun_ashida_logo.png
Jun Hasegawa,http://www.virtualjapan.com/wiki/Jun_Hasegawa,http://www.hasegawa-jun.com,,,
Junya Tashiro,http://www.virtualjapan.com/wiki/Junya_Tashiro,http://www.junyatashiro.com,"Junya Tashiro is a Japanese fashion designer and a label of the same name. Junya’s work is a mish mash of various different mediums and styles, drawing liberally from contemporary indie culture in animations, movies, and illustrations that make for a more complex, interesting collection of clothing.",,"https://static.wixstatic.com/media/fbf8a0_36a3eafda75249a08100ef4a81482fce.jpg/v1/fill/w_600,h_411,al_c,q_80,usm_0.66_1.00_0.01/fbf8a0_36a3eafda75249a08100ef4a81482fce.webp"
Junya Watanabe,http://www.virtualjapan.com/wiki/Junya_Watanabe,https://totokaelo.com/junya-watanabe,"Junya Watanabe is the Japanese fashion designer, well known for his work relationship with Rei Kawakubo, the designer and owner of Comme des Garcons. After starting his own line of clothing under his name in 1992, Watanabe focused his attentions to technologically advanced and synthetic style fabrics and textiles for what is commonly known as techno couture design – the creation of uniquely designed clothing with modern materials.",,http://www.wearona.com/dbi/images/brand_logos/junya-watanabe.png
